experiment,dgp,dependence,sigma,rep,true_order,khat,rem1_p,rem2_p,rem3_p,ub_cert
ksweep_k4,o1,indep,0.0,0,1,1,0.6963955959537116,0.49277237688589015,0.7556000356276364,0.00010554785947131634
ksweep_k4,o1,indep,0.0,1,1,1,0.8217197424172056,0.9594385858901449,0.8140082676830158,0.00018008765627651742
ksweep_k4,o1,indep,0.0,2,1,1,0.9529917527869669,0.8707155761613581,0.7946222438422856,9.070406376458876e-06
ksweep_k4,o1,indep,0.0,3,1,1,0.9505190648152614,0.8295851581818761,0.5236609694633102,1.1497107333789479e-05
ksweep_k4,o1,indep,0.0,4,1,1,0.8876405894839269,0.8516736549439404,0.08755343220920175,4.043706718385283e-05
ksweep_k4,o1,indep,0.0,5,1,1,0.5639064117450364,0.7003487520931533,0.35211389784630964,7.386656079769631e-05
ksweep_k4,o1,indep,0.0,6,1,1,0.8450636854403569,0.6339766620063321,0.776728784657837,4.552793098852413e-05
ksweep_k4,o1,indep,0.0,7,1,1,0.7800894443369546,0.9397086809775574,0.8199338619840215,4.7859815053666245e-05
ksweep_k4,o1,indep,0.0,8,1,1,0.9744558469190461,0.8148231688489618,0.8735088083232229,-5.116280360546793e-07
ksweep_k4,o1,indep,0.0,9,1,1,0.9308832237752216,0.8803889898194333,0.27458932992330576,3.10905283634314e-05
ksweep_k4,o1,indep,0.0,10,1,1,0.9887999268801559,0.9935454885071904,0.9144169406566613,-3.7789731406853404e-05
ksweep_k4,o1,indep,0.0,11,1,1,0.8845491718323771,0.9196059243795842,0.5246530068144936,5.1449233685385585e-05
ksweep_k4,o1,indep,0.0,12,1,1,0.995496348294946,0.9447666176900368,0.8083253929204546,-2.1209444398975226e-05
ksweep_k4,o1,indep,0.0,13,1,1,0.9941201813420868,0.9115001932510878,0.6594233594089334,-3.287282983772869e-05
ksweep_k4,o1,indep,0.0,14,1,1,0.9019284603800881,0.8968748644089358,0.8220216923532844,4.0415615419523636e-05
ksweep_k4,o1,indep,0.0,15,1,1,0.6184715204755273,0.9801570824679268,0.892704621297404,0.00011681692213569434
ksweep_k4,o1,indep,0.0,16,1,1,0.9833984546720407,0.9681279603098021,0.8481535204580595,-1.321943477678132e-05
ksweep_k4,o1,indep,0.0,17,1,1,0.6867111753409795,0.7006385570592091,0.13409803271892295,0.00011774609851343341
ksweep_k4,o1,indep,0.0,18,1,1,0.36225582643051757,0.6364916072316282,0.7753396314807517,0.0003992165079358135
ksweep_k4,o1,indep,0.0,19,1,1,0.9989388620683909,0.8491031960313143,0.46633051510182966,-2.699045822194903e-05
ksweep_k4,o1,indep,0.5,0,1,1,0.9998079907687344,0.9868003177855964,0.8164307278839589,7.4101265488255214e-06
ksweep_k4,o1,indep,0.5,1,1,1,0.9930468260343732,0.9281557594882659,0.7943973792328968,0.00024349271369573174
ksweep_k4,o1,indep,0.5,2,1,1,0.997863170272717,0.9942748676289006,0.9096365530928215,0.00020442026967632486
ksweep_k4,o1,indep,0.5,3,1,1,0.9989083820042671,0.9916108708995564,0.6596113032797607,0.0001333010748231667
ksweep_k4,o1,indep,0.5,4,1,1,0.9847905480467284,0.9592898498067148,0.9232058119323954,0.0003349321693164732
