experiment,dependence,n,sigma,rep,khat,ub_cert,rem1_mean,rem1_p,pi1,rem2_mean,rem2_p,pi2
ordersweep_censoring,pair0.99,20000,0.0,0,3,,0.678399844375834,1.0691447727140257e-13,1.0,6.655648742077691e-05,5.994030638500902e-08,1.0
ordersweep_censoring,pair0.99,20000,0.0,1,3,,0.7098322097230003,2.5497381983541345e-12,1.0,7.245325871907404e-05,4.085961153865725e-07,1.0
ordersweep_censoring,pair0.99,20000,0.0,2,3,,0.666449573056348,2.220446049250313e-16,1.0,7.07188820950222e-05,8.866314614719428e-07,1.0
ordersweep_censoring,pair0.99,20000,0.0,3,3,,0.676615007369729,2.9976021664879227e-15,1.0,7.082148717605375e-05,6.1996736633318505e-09,1.0
ordersweep_censoring,pair0.99,20000,0.0,4,3,,0.6871794088208671,2.0039525594484076e-13,1.0,6.937283120583837e-05,2.501241360697293e-07,1.0
ordersweep_censoring,pair0.99,20000,0.0,5,3,,0.6814824599197289,1.27675647831893e-14,1.0,6.627714244799021e-05,4.977701317798733e-08,1.0
ordersweep_censoring,pair0.99,20000,0.0,6,3,,0.6772948249379747,5.18030063290098e-13,1.0,7.446901504996051e-05,3.7284595211239946e-07,1.0
ordersweep_censoring,pair0.99,20000,0.0,7,3,,0.6934630148950185,3.6637359812630166e-15,1.0,6.508350562768328e-05,2.0355327390308986e-07,1.0
ordersweep_censoring,pair0.99,20000,0.0,8,3,,0.684096709184566,4.771738559838923e-13,1.0,6.561473797197514e-05,2.424251887012119e-07,1.0
ordersweep_censoring,pair0.99,20000,0.0,9,3,,0.6579934251174382,2.3314683517128287e-15,1.0,7.13555860744175e-05,4.13433649537609e-08,1.0
ordersweep_censoring,pair0.99,20000,0.0,10,3,,0.6836924055150215,2.55351295663786e-15,1.0,7.518980188550017e-05,7.614708730230291e-07,1.0
ordersweep_censoring,pair0.99,20000,0.0,11,3,,0.6806484166598818,3.1086244689504383e-15,1.0,7.212375454086483e-05,6.739489166740498e-08,1.0
ordersweep_censoring,pair0.99,20000,0.0,12,3,,0.6685162067601194,9.303668946358812e-14,1.0,7.049704566719495e-05,6.723582801626549e-10,1.0
ordersweep_censoring,pair0.99,20000,0.0,13,3,,0.6699288545042592,3.587130592563881e-13,1.0,7.370014831524774e-05,6.674256334271433e-07,1.0
ordersweep_censoring,pair0.99,20000,0.0,14,3,,0.6670682199867091,4.271027975732977e-13,1.0,7.028874798733486e-05,4.772505612926636e-09,1.0
ordersweep_censoring,pair0.99,20000,0.0,15,3,,0.6856051472790644,1.6653345369377348e-15,1.0,6.262609195504255e-05,5.542301062533284e-10,1.0
ordersweep_censoring,pair0.99,20000,0.0,16,3,,0.6775660317866679,2.90878432451791e-14,1.0,7.025371218500886e-05,1.928663206918202e-08,1.0
ordersweep_censoring,pair0.99,20000,0.0,17,3,,0.6724080623905652,1.9984014443252818e-15,1.0,7.576557619564106e-05,1.0287045304480102e-07,1.0
ordersweep_censoring,pair0.99,20000,0.0,18,3,,0.6801115640752038,3.774758283725532e-15,1.0,6.277629283084618e-05,1.6530781077328527e-08,1.0
ordersweep_censoring,pair0.99,20000,0.0,19,3,,0.6737209872439365,2.1094237467877974e-15,1.0,6.924015187070864e-05,3.8444597505460365e-09,1.0
ordersweep_censoring,pair0.99,20000,0.5,0,2,0.00019562888113824938,0.6185257439511027,1.1046719095020308e-13,1.0,5.471789933479965e-05,0.2128372992223717,0.7
ordersweep_censoring,pair0.99,20000,0.5,1,3,,0.6239688928769908,1.4678258608569195e-12,1.0,0.00010513803408960243,0.027199612008315555,0.9
ordersweep_censoring,pair0.99,20000,0.5,2,3,,0.6242497031838801,2.220446049250313e-16,1.0,6.554738127865223e-05,0.04357693113490557,0.9
ordersweep_censoring,pair0.99,20000,0.5,3,2,7.454467179769958e-05,0.6519294147465879,1.547417749492297e-11,1.0,1.1792660145959478e-05,0.31851009430793276,0.7
ordersweep_censoring,pair0.99,20000,0.5,4,2,0.00010008689069925588,0.6167577335945496,1.3211653993039363e-14,1.0,8.648067210137445e-06,0.4124733043485711,0.7
